Date,Site,Kpar
2015-06-01,LH02_s2,NA
2015-06-01,LH07_s2,NA
2015-06-01,LH10_s2,NA
2015-06-01,PB02_s2,NA
2015-06-01,PB03_s2,NA
2015-06-01,PB10_s2,NA
2015-06-01,PB11_s2,NA
2015-06-01,PL02_s2,NA
2015-06-01,PL03_s2,NA
2015-06-01,PL14_s2,NA
2015-06-01,PL16_s2,0.42022138833999634
2015-07-01,BP01_s2,NA
2015-07-01,BP02_s2,NA
2015-07-01,BP03_s2,NA
2015-07-01,BP05_s2,NA
2015-07-01,BP06_s2,NA
2015-07-01,BP08_s2,0.3086796998977661
2015-07-01,BP10_s2,NA
2015-07-01,BP13_s2,NA
2015-07-01,BP14_s2,NA
2015-07-01,LH01_s2,NA
2015-07-01,LH02_s2,NA
2015-07-01,LH07_s2,NA
2015-07-01,LH10_s2,NA
2015-07-01,PB02_s2,NA
2015-07-01,PB03_s2,NA
2015-07-01,PB10_s2,NA
2015-07-01,PB11_s2,NA
2015-07-01,PL02_s2,NA
2015-07-01,PL03_s2,NA
2015-07-01,PL14_s2,NA
2015-07-01,PL16_s2,NA
2015-08-01,BP01_s2,0.3533833920955658
2015-08-01,BP02_s2,0.32167327404022217
2015-08-01,BP03_s2,0.4396154284477234
2015-08-01,BP05_s2,0.3828428387641907
2015-08-01,BP06_s2,0.3416564464569092
2015-08-01,BP08_s2,0.3068837523460388
2015-08-01,BP10_s2,0.5144774913787842
2015-08-01,BP13_s2,0.4386396110057831
2015-08-01,BP14_s2,NA
2015-08-01,LH01_s2,0.46067675948143005
2015-08-01,LH02_s2,0.472957968711853
2015-08-01,LH07_s2,0.5379869937896729
2015-08-01,LH10_s2,0.5919469594955444
2015-08-01,PB02_s2,NA
2015-08-01,PB03_s2,NA
2015-08-01,PB10_s2,NA
2015-08-01,PB11_s2,NA
2015-08-01,PL02_s2,NA
2015-08-01,PL03_s2,NA
2015-08-01,PL14_s2,NA
2015-08-01,PL16_s2,NA
2015-09-01,BP01_s2,0.3687479496002197
2015-09-01,BP02_s2,0.3627856373786926
2015-09-01,BP03_s2,0.352843314409256
2015-09-01,BP05_s2,0.4583149552345276
2015-09-01,BP06_s2,0.4255301356315613
2015-09-01,BP08_s2,0.3606454133987427
2015-09-01,BP10_s2,0.40363946557044983
2015-09-01,BP13_s2,0.4002911150455475
2015-09-01,BP14_s2,0.3355087339878082
2015-09-01,LH01_s2,0.35474005341529846
2015-09-01,LH02_s2,0.40059688687324524
2015-09-01,LH07_s2,0.38837531208992004
2015-09-01,LH10_s2,0.4151744842529297
2015-09-01,PB02_s2,NA
2015-09-01,PB03_s2,NA
2015-09-01,PB10_s2,NA
2015-09-01,PB11_s2,NA
2015-09-01,PL02_s2,NA
2015-09-01,PL03_s2,NA
2015-09-01,PL14_s2,NA
2015-09-01,PL16_s2,NA
2015-10-01,BP01_s2,0.40302711725234985
2015-10-01,BP02_s2,0.4084106683731079
2015-10-01,BP03_s2,0.31251686811447144
2015-10-01,BP05_s2,0.3217884600162506
2015-10-01,BP06_s2,0.3558417856693268
2015-10-01,BP08_s2,0.3173641264438629
2015-10-01,BP10_s2,0.34676653146743774
2015-10-01,BP13_s2,0.37841665744781494
2015-10-01,BP14_s2,0.42542290687561035
2015-10-01,LH01_s2,0.47944024205207825
2015-10-01,LH02_s2,NA
2015-10-01,LH07_s2,0.46486029028892517
2015-10-01,LH10_s2,0.4788954555988312
2015-10-01,PB02_s2,NA
2015-10-01,PB03_s2,NA
2015-10-01,PB10_s2,NA
2015-10-01,PB11_s2,NA
2015-10-01,PL02_s2,NA
2015-10-01,PL03_s2,NA
