Date,Site,SST
2016-04-01,BP05_s2,17.68000030517578
2016-04-01,BP06_s2,17.649999618530273
2016-04-01,BP08_s2,17.170000076293945
2016-04-01,BP10_s2,17.364999771118164
2016-04-01,BP13_s2,17.84000015258789
2016-04-01,BP14_s2,17.549999237060547
2016-04-01,LH01_s2,NA
2016-04-01,LH02_s2,20.53499984741211
2016-04-01,LH07_s2,18.614999771118164
2016-04-01,LH10_s2,17.920000076293945
2016-04-01,PB02_s2,NA
2016-04-01,PB03_s2,NA
2016-04-01,PB10_s2,NA
2016-04-01,PB11_s2,NA
2016-04-01,PL02_s2,NA
2016-04-01,PL03_s2,NA
2016-04-01,PL14_s2,NA
2016-04-01,PL16_s2,18.125
2016-05-01,BP01_s2,15.389999389648438
2016-05-01,BP02_s2,17.170000076293945
2016-05-01,BP03_s2,15.299999237060547
2016-05-01,BP05_s2,15.029999732971191
2016-05-01,BP06_s2,17.10999870300293
2016-05-01,BP08_s2,16.114999771118164
2016-05-01,BP10_s2,15.90999984741211
2016-05-01,BP13_s2,NA
2016-05-01,BP14_s2,16.154998779296875
2016-05-01,LH01_s2,16.295000076293945
2016-05-01,LH02_s2,16.25
2016-05-01,LH07_s2,16.475000381469727
2016-05-01,LH10_s2,16.295000076293945
2016-05-01,PB02_s2,NA
2016-05-01,PB03_s2,NA
2016-05-01,PB10_s2,NA
2016-05-01,PB11_s2,NA
2016-05-01,PL02_s2,NA
2016-05-01,PL03_s2,NA
2016-05-01,PL14_s2,NA
2016-05-01,PL16_s2,NA
2016-06-01,BP01_s2,NA
2016-06-01,BP02_s2,NA
2016-06-01,BP03_s2,15.15999984741211
2016-06-01,BP05_s2,NA
2016-06-01,BP06_s2,14.63499927520752
2016-06-01,BP08_s2,14.519999504089355
2016-06-01,BP10_s2,14.779999732971191
2016-06-01,BP13_s2,14.829999923706055
2016-06-01,BP14_s2,NA
2016-06-01,LH01_s2,NA
2016-06-01,LH02_s2,15.244999885559082
2016-06-01,LH07_s2,NA
2016-06-01,LH10_s2,NA
2016-06-01,PB02_s2,13.34999942779541
2016-06-01,PB03_s2,NA
2016-06-01,PB10_s2,NA
2016-06-01,PB11_s2,NA
2016-06-01,PL02_s2,NA
2016-06-01,PL03_s2,NA
2016-06-01,PL14_s2,NA
2016-06-01,PL16_s2,NA
2016-07-01,BP01_s2,11.514999389648437
2016-07-01,BP02_s2,NA
2016-07-01,BP03_s2,NA
2016-07-01,BP05_s2,11.5
2016-07-01,BP06_s2,11.819999694824219
2016-07-01,BP08_s2,11.704999923706055
2016-07-01,BP10_s2,11.84999942779541
2016-07-01,BP13_s2,NA
2016-07-01,BP14_s2,11.644999504089355
2016-07-01,LH01_s2,NA
2016-07-01,LH02_s2,NA
2016-07-01,LH07_s2,10.479999542236328
2016-07-01,LH10_s2,NA
2016-07-01,PB02_s2,NA
2016-07-01,PB03_s2,NA
2016-07-01,PB10_s2,NA
2016-07-01,PB11_s2,NA
2016-07-01,PL02_s2,11.569999694824219
2016-07-01,PL03_s2,NA
2016-07-01,PL14_s2,NA
2016-07-01,PL16_s2,11.625
2016-08-01,BP01_s2,NA
2016-08-01,BP02_s2,NA
2016-08-01,BP03_s2,NA
2016-08-01,BP05_s2,NA
2016-08-01,BP06_s2,9.505000114440918
2016-08-01,BP08_s2,9.619999885559082
2016-08-01,BP10_s2,9.654999732971191
2016-08-01,BP13_s2,NA
2016-08-01,BP14_s2,NA
2016-08-01,LH01_s2,NA
2016-08-01,LH02_s2,9.229999542236328
2016-08-01,LH07_s2,NA
2016-08-01,LH10_s2,NA
2016-08-01,PB02_s2,NA
2016-08-01,PB03_s2,NA
2016-08-01,PB10_s2,NA
2016-08-01,PB11_s2,NA
2016-08-01,PL02_s2,NA
2016-08-01,PL03_s2,NA
2016-08-01,PL14_s2,NA
2016-08-01,PL16_s2,NA
2016-09-01,BP01_s2,NA
2016-09-01,BP02_s2,NA
2016-09-01,BP03_s2,10.654999732971191
2016-09-01,BP05_s2,NA
2016-09-01,BP06_s2,9.954999923706055
2016-09-01,BP08_s2,11.65999984741211
2016-09-01,BP10_s2,10.90999984741211
2016-09-01,BP13_s2,NA
2016-09-01,BP14_s2,8.234999656677246
2016-09-01,LH01_s2,8.239999771118164
2016-09-01,LH02_s2,8.03499984741211
2016-09-01,LH07_s2,8.335000038146973
2016-09-01,LH10_s2,8.755000114440918
2016-09-01,PB02_s2,NA
2016-09-01,PB03_s2,NA
2016-09-01,PB10_s2,NA
2016-09-01,PB11_s2,NA
2016-09-01,PL02_s2,NA
2016-09-01,PL03_s2,NA
2016-09-01,PL14_s2,NA
2016-09-01,PL16_s2,NA
2016-10-01,BP01_s2,10.414999961853027
2016-10-01,BP02_s2,NA
2016-10-01,BP03_s2,9.894999504089355
2016-10-01,BP05_s2,10.925000190734863
2016-10-01,BP06_s2,10.899999618530273
2016-10-01,BP08_s2,10.800000190734863
2016-10-01,BP10_s2,10.795000076293945
2016-10-01,BP13_s2,NA
2016-10-01,BP14_s2,10.359999656677246
2016-10-01,LH01_s2,10.710000038146973
2016-10-01,LH02_s2,10.84000015258789
2016-10-01,LH07_s2,11.054999351501465
2016-10-01,LH10_s2,11.479999542236328
2016-10-01,PB02_s2,NA
2016-10-01,PB03_s2,NA
2016-10-01,PB10_s2,NA
2016-10-01,PB11_s2,NA
2016-10-01,PL02_s2,NA
2016-10-01,PL03_s2,NA
2016-10-01,PL14_s2,NA
2016-10-01,PL16_s2,NA
2016-11-01,BP01_s2,12.264999389648438
2016-11-01,BP02_s2,13.864999771118164
2016-11-01,BP03_s2,13.59000015258789
2016-11-01,BP05_s2,NA
2016-11-01,BP06_s2,13.97499942779541
2016-11-01,BP08_s2,14.539999961853027
2016-11-01,BP10_s2,9.899999618530273
2016-11-01,BP13_s2,NA
2016-11-01,BP14_s2,NA
2016-11-01,LH01_s2,13.90999984741211
2016-11-01,LH02_s2,14.899999618530273
2016-11-01,LH07_s2,14.049999237060547
2016-11-01,LH10_s2,13.429999351501465
2016-11-01,PB02_s2,NA
2016-11-01,PB03_s2,NA
2016-11-01,PB10_s2,NA
2016-11-01,PB11_s2,NA
2016-11-01,PL02_s2,NA
2016-11-01,PL03_s2,NA
2016-11-01,PL14_s2,NA
2016-11-01,PL16_s2,14.00999927520752
2016-12-01,BP01_s2,15.204999923706055
2016-12-01,BP02_s2,15.460000038146973
2016-12-01,BP03_s2,14.859999656677246
2016-12-01,BP05_s2,14.559999465942383
2016-12-01,BP06_s2,14.894999504089355
2016-12-01,BP08_s2,15.074999809265137
2016-12-01,BP10_s2,14.84999942779541
2016-12-01,BP13_s2,16.43000030517578
2016-12-01,BP14_s2,15.164999961853027
2016-12-01,LH01_s2,15.524999618530273
2016-12-01,LH02_s2,15.4399995803833
2016-12-01,LH07_s2,15.375
2016-12-01,LH10_s2,15.744999885559082
2016-12-01,PB02_s2,NA
2016-12-01,PB03_s2,NA
2016-12-01,PB10_s2,NA
2016-12-01,PB11_s2,NA
2016-12-01,PL02_s2,15.28499984741211
2016-12-01,PL03_s2,NA
2016-12-01,PL14_s2,NA
2016-12-01,PL16_s2,15.579999923706055
2017-01-01,BP01_s2,17.1299991607666
2017-01-01,BP02_s2,NA
2017-01-01,BP03_s2,15.694999694824219
2017-01-01,BP05_s2,14.420000076293945
2017-01-01,BP06_s2,16.100000381469727
2017-01-01,BP08_s2,16.44999885559082
2017-01-01,BP10_s2,15.664999961853027
2017-01-01,BP13_s2,19.15999984741211
2017-01-01,BP14_s2,NA
2017-01-01,LH01_s2,NA
2017-01-01,LH02_s2,NA
2017-01-01,LH07_s2,NA
2017-01-01,LH10_s2,NA
2017-01-01,PB02_s2,NA
2017-01-01,PB03_s2,NA
2017-01-01,PB10_s2,NA
2017-01-01,PB11_s2,NA
